Column1;Column2;Column3;Column4;Column5;Column6
OVO-nummer;Naam;Bestuursniveau;lpdcName;class;uri
OVO000001;;Vlaamse overheid;Administratieve diensten van de Vlaamse overheid;;https://data.vlaanderen.be/id/organisatie/OVO000001
OVO000007;;Vlaamse overheid;Beleidsdomein Onderwijs en Vorming;;https://data.vlaanderen.be/id/organisatie/OVO000007
OVO000009;Beleidsdomein Cultuur, Jeugd, Sport en Media;Vlaamse overheid;Beleidsdomein Cultuur, Jeugd, Sport en Media;;https://data.vlaanderen.be/id/organisatie/OVO000009
OVO000013;Beleidsdomein Mobiliteit en Openbare Werken;Vlaamse overheid;Beleidsdomein Mobiliteit en Openbare Werken;;https://data.vlaanderen.be/id/organisatie/OVO000013
OVO000029;Departement Financiën en Begroting;Vlaamse overheid;Departement Financiën en Begroting;;https://data.vlaanderen.be/id/organisatie/OVO000029
OVO000031;Vlaamse Belastingdienst;Vlaamse overheid;Vlaamse Belastingdienst;;https://data.vlaanderen.be/id/organisatie/OVO000031
OVO000032;Departement Kanselarij en Buitenlandse Zaken;Vlaamse overheid;Departement Kanselarij en Buitenlandse Zaken;;https://data.vlaanderen.be/id/organisatie/OVO000032
OVO000034;Toerisme Vlaanderen;Vlaamse overheid;Toerisme Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000034
OVO000035;Vlaams Agentschap voor Internationaal Ondernemen;Vlaamse overheid;Vlaams Agentschap voor Internationaal Ondernemen;;https://data.vlaanderen.be/id/organisatie/OVO000035
OVO000038;;Vlaamse overheid;Departement Economie, Wetenschap en Innovatie;;https://data.vlaanderen.be/id/organisatie/OVO000038
OVO000039;VLAIO (Agentschap Innoveren & Ondernemen);Vlaamse overheid;Agentschap Innoveren en Ondernemen;;https://data.vlaanderen.be/id/organisatie/OVO000039
OVO000041;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK;Vlaamse overheid;VLAAMSE INSTELLING VOOR TECHNOLOGISCH ONDERZOEK;;https://data.vlaanderen.be/id/organisatie/OVO000041
OVO000042;Fonds voor wetenschappelijk Onderzoek - Vlaanderen;Vlaamse overheid;Fonds voor wetenschappelijk Onderzoek - Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000042
OVO000043;LIMBURGSE RECONVERSIE MAATSCHAPPIJ;Vlaamse overheid;LIMBURGSE RECONVERSIE MAATSCHAPPIJ;;https://data.vlaanderen.be/id/organisatie/OVO000043
OVO000044;Participatiemaatschappij Vlaanderen;Vlaamse overheid;Participatiemaatschappij Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000044
OVO000045;VLAAMSE PARTICIPATIEMAATSCHAPPIJ;Vlaamse overheid;VLAAMSE PARTICIPATIEMAATSCHAPPIJ;;https://data.vlaanderen.be/id/organisatie/OVO000045
OVO000049;Departement Onderwijs en Vorming;Vlaamse overheid;Departement Onderwijs en Vorming;;https://data.vlaanderen.be/id/organisatie/OVO000049
OVO000050;Agentschap voor Onderwijsdiensten;Vlaamse overheid;Agentschap voor Onderwijsdiensten;;https://data.vlaanderen.be/id/organisatie/OVO000050
OVO000053;Agentschap voor Infrastructuur in het Onderwijs;Vlaamse overheid;Agentschap voor Infrastructuur in het Onderwijs;;https://data.vlaanderen.be/id/organisatie/OVO000053
OVO000054;Vlaamse Onderwijsraad - Conseil flamand de l'Enseignement;Vlaamse overheid;Vlaamse Onderwijsraad - Conseil flamand de l'Enseignement;;https://data.vlaanderen.be/id/organisatie/OVO000054
OVO000056;Departement Zorg;Vlaamse overheid;Departement Welzijn, Volksgezondheid en Gezin;;https://data.vlaanderen.be/id/organisatie/OVO000056
OVO000058;Opgroeien;Vlaamse overheid;Opgroeien;;https://data.vlaanderen.be/id/organisatie/OVO000058
OVO000059;;Vlaamse overheid;Agentschap Zorg en Gezondheid;;https://data.vlaanderen.be/id/organisatie/OVO000059
OVO000060;VLAAMS AGENTSCHAP VOOR PERSONEN MET EEN HANDICAP;Vlaamse overheid;VLAAMS AGENTSCHAP VOOR PERSONEN MET EEN HANDICAP;;https://data.vlaanderen.be/id/organisatie/OVO000060
OVO000061;Opgroeien regie;Vlaamse overheid;Opgroeien regie;;https://data.vlaanderen.be/id/organisatie/OVO000061
OVO000062;OPENBAAR PSYCHIATRISCH ZORGCENTRUM GEEL;Vlaamse overheid;OPENBAAR PSYCHIATRISCH ZORGCENTRUM GEEL;;https://data.vlaanderen.be/id/organisatie/OVO000062
OVO000063;Openbaar Psychiatrisch Zorgcentrum Rekem;Vlaamse overheid;Openbaar Psychiatrisch Zorgcentrum Rekem;;https://data.vlaanderen.be/id/organisatie/OVO000063
OVO000067;Departement Cultuur, Jeugd en Media;Vlaamse overheid;Departement Cultuur, Jeugd en Media;;https://data.vlaanderen.be/id/organisatie/OVO000067
OVO000070;SPORT VLAANDEREN;Vlaamse overheid;SPORT VLAANDEREN;;https://data.vlaanderen.be/id/organisatie/OVO000070
OVO000071;VLAAMSE REGULATOR VOOR DE MEDIA;Vlaamse overheid;VLAAMSE REGULATOR VOOR DE MEDIA;;https://data.vlaanderen.be/id/organisatie/OVO000071
OVO000072;Opera Ballet Vlaanderen;Vlaamse overheid;Opera Ballet Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000072
OVO000073;De Vlaamse Radio- en Televisieomroeporganisatie;Vlaamse overheid;De Vlaamse Radio- en Televisieomroeporganisatie;;https://data.vlaanderen.be/id/organisatie/OVO000073
OVO000076;;Vlaamse overheid;Departement Werk en Sociale Economie;;https://data.vlaanderen.be/id/organisatie/OVO000076
OVO000078;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;Vlaamse overheid;Vlaamse Dienst voor Arbeidsbemiddeling en Beroepsopleiding;;https://data.vlaanderen.be/id/organisatie/OVO000078
OVO000080;ESF - AGENTSCHAP VLAANDEREN;Vlaamse overheid;ESF - AGENTSCHAP VLAANDEREN;;https://data.vlaanderen.be/id/organisatie/OVO000080
OVO000082;Agentschap Landbouw en Zeevisserij;Vlaamse overheid;Departement Landbouw en Visserij;;https://data.vlaanderen.be/id/organisatie/OVO000082
OVO000084;Instituut voor Landbouw-, Visserij- en Voedingsonderzoek;Vlaamse overheid;Instituut voor Landbouw- en Visserijonderzoek;;https://data.vlaanderen.be/id/organisatie/OVO000084
OVO000088;Instituut voor Natuur- en Bosonderzoek;Vlaamse overheid;Instituut voor Natuur- en Bosonderzoek;;https://data.vlaanderen.be/id/organisatie/OVO000088
OVO000089;Agentschap voor Natuur en Bos;Vlaamse overheid;Agentschap voor Natuur en Bos;;https://data.vlaanderen.be/id/organisatie/OVO000089
OVO000090;Vlaams Energie- en Klimaatagentschap;Vlaamse overheid;Vlaams Energie- en Klimaatagentschap;;https://data.vlaanderen.be/id/organisatie/OVO000090
OVO000091;Openbare Vlaamse Afvalstoffenmaatschappij;Vlaamse overheid;Openbare Vlaamse Afvalstoffenmaatschappij;;https://data.vlaanderen.be/id/organisatie/OVO000091
OVO000092;VLAAMSE MILIEUMAATSCHAPPIJ;Vlaamse overheid;VLAAMSE MILIEUMAATSCHAPPIJ;;https://data.vlaanderen.be/id/organisatie/OVO000092
OVO000094;VLAAMSE LANDMAATSCHAPPIJ;Vlaamse overheid;VLAAMSE LANDMAATSCHAPPIJ;;https://data.vlaanderen.be/id/organisatie/OVO000094
OVO000095;Milieu- en Natuurraad van Vlaanderen;Vlaamse overheid;Milieu- en Natuurraad van Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000095
OVO000096;Departement Mobiliteit en Openbare Werken;Vlaamse overheid;Departement Mobiliteit en Openbare Werken;;https://data.vlaanderen.be/id/organisatie/OVO000096
OVO000097;Agentschap voor Maritieme Dienstverlening en Kust;Vlaamse overheid;Agentschap voor Maritieme Dienstverlening en Kust;;https://data.vlaanderen.be/id/organisatie/OVO000097
OVO000098;Agentschap Wegen en Verkeer;Vlaamse overheid;Agentschap Wegen en Verkeer;;https://data.vlaanderen.be/id/organisatie/OVO000098
OVO000100;Vlaamse Vervoermaatschappij - De Lijn;Vlaamse overheid;Vlaamse Vervoermaatschappij - De Lijn;;https://data.vlaanderen.be/id/organisatie/OVO000100
OVO000103;VLAAMSE MAATSCHAPPIJ VOOR SOCIAAL WONEN;Vlaamse overheid;VLAAMSE MAATSCHAPPIJ VOOR SOCIAAL WONEN;;https://data.vlaanderen.be/id/organisatie/OVO000103
OVO000104;Onroerend Erfgoed;Vlaamse overheid;Onroerend Erfgoed;;https://data.vlaanderen.be/id/organisatie/OVO000104
OVO000106;Wonen in Vlaanderen;Vlaamse overheid;Wonen-Vlaanderen;;https://data.vlaanderen.be/id/organisatie/OVO000106
